"cdSecao";"cdGrupo";"cdSubGrupo";"dsSetor";"dsSecao";"dsGrupo";"dsSubGrupo";"cdEstrutura";"dsCategoria";"Commodity";"Pereciveis_IN"
1;0;0;"PER IN NATURA";"CARNES";;;10000;;;
1;1;0;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";;10100;"BOVINO TRASEIRO";;
1;1;1;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES TRADICIONAIS PECA I";10101;"BOVINO TRASEIRO";;"3"
1;1;2;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES TRADICIONAIS PEDACO";10102;"BOVINO TRASEIRO";;"3"
1;1;3;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES TRADICIONAIS MATURA";10103;"BOVINO TRASEIRO";;"3"
1;1;4;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES TRADICIONAIS ORGANI";10104;"BOVINO TRASEIRO";;"3"
1;1;5;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES TRADICIONAIS SWIFT";10105;"BOVINO TRASEIRO";;"3"
1;1;6;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES ESPECIAIS";10106;"BOVINO TRASEIRO";;"3"
1;1;7;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES ESPECIAIS TRAZEIRO";10107;"BOVINO TRASEIRO";;"3"
1;1;8;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES ESPECIAIS DIANTEIRO";10108;"BOVINO TRASEIRO";;"3"
1;2;0;"PER IN NATURA";"CARNES";"BOVINO DIANTEIRO";;10200;"BOVINO DIANTEIRO";;
1;2;1;"PER IN NATURA";"CARNES";"BOVINO DIANTEIRO";"DIANTEIRO C/OSSO";10201;"BOVINO DIANTEIRO";;"3"
1;2;2;"PER IN NATURA";"CARNES";"BOVINO DIANTEIRO";"DIANTEIRO S/OSSO";10202;"BOVINO DIANTEIRO";;"3"
1;2;3;"PER IN NATURA";"CARNES";"BOVINO DIANTEIRO";"CARNE MOIDA";10203;"BOVINO DIANTEIRO";;"3"
1;2;4;"PER IN NATURA";"CARNES";"BOVINO DIANTEIRO";"ESPETINHOS";10204;"BOVINO DIANTEIRO";;"3"
1;3;0;"PER IN NATURA";"CARNES";"CARNE MOIDA";;10300;"CARNE MOIDA";;
1;3;1;"PER IN NATURA";"CARNES";"CARNE MOIDA";"CARNE MOIDA RESFRIADA KG";10301;"CARNE MOIDA";;"3"
1;3;2;"PER IN NATURA";"CARNES";"CARNE MOIDA";"CARNE MOIDA CONGELADA";10302;"CARNE MOIDA";;"3"
1;4;0;"PER IN NATURA";"CARNES";"ESPETINHOS";;10400;"ESPETINHOS";;
1;4;1;"PER IN NATURA";"CARNES";"ESPETINHOS";"ESPETINHO BOVINO";10401;"ESPETINHOS";;"3"
1;4;2;"PER IN NATURA";"CARNES";"ESPETINHOS";"ESPETINHO DE FRANGO";10402;"ESPETINHOS";;"3"
1;4;3;"PER IN NATURA";"CARNES";"ESPETINHOS";"ESPETINHO CORACAO DE FRANG";10403;"ESPETINHOS";;"3"
1;4;4;"PER IN NATURA";"CARNES";"ESPETINHOS";"ESPETINHO SUINO";10404;"ESPETINHOS";;"3"
1;4;5;"PER IN NATURA";"CARNES";"ESPETINHOS";"ESPETINHO MISTO/LINGUICA";10405;"ESPETINHOS";;"3"
1;4;6;"PER IN NATURA";"CARNES";"ESPETINHOS";"KIT CHURRASCO";10406;"ESPETINHOS";;"3"
1;5;0;"PER IN NATURA";"CARNES";"VISCERAS";;10500;"VISCERAS";;
1;5;1;"PER IN NATURA";"CARNES";"VISCERAS";"FIGADO";10501;"VISCERAS";;"3"
1;5;2;"PER IN NATURA";"CARNES";"VISCERAS";"VICERAS DIVERSAS";10502;"VISCERAS";;"3"
1;6;0;"PER IN NATURA";"CARNES";"SUINOS";;10600;"SUINOS";;
1;6;1;"PER IN NATURA";"CARNES";"SUINOS";"LOMBO SUINO CONGELADO";10601;"SUINOS";;"3"
1;6;2;"PER IN NATURA";"CARNES";"SUINOS";"PERNIL SUINO CONGELADO";10602;"SUINOS";;"3"
1;6;3;"PER IN NATURA";"CARNES";"SUINOS";"COSTELA SUINA CONGELADA";10603;"SUINOS";;"3"
1;6;4;"PER IN NATURA";"CARNES";"SUINOS";"CORTES SUINOS DIVERSOS CON";10604;"SUINOS";;"3"
1;6;5;"PER IN NATURA";"CARNES";"SUINOS";"SUINO RESFRIADO";10605;"SUINOS";;"3"
1;6;6;"PER IN NATURA";"CARNES";"SUINOS";"VISCERAS SUINO";10606;"SUINOS";;"3"
1;7;0;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";;10700;"CAPRINOS/OVINOS";;
1;7;1;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";"CAPRINOS CONGELADOS";10701;"CAPRINOS/OVINOS";;"3"
1;7;2;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";"CAPRINOS FATIADO CONGELADO";10702;"CAPRINOS/OVINOS";;"3"
1;7;3;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";"MIUDOS CAPRINO CONGELADO";10703;"CAPRINOS/OVINOS";;"3"
1;7;4;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";"OVINOS CONGELADOS";10704;"CAPRINOS/OVINOS";;"3"
1;7;5;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";"CAPRINOS RESFRIADOS";10705;"CAPRINOS/OVINOS";;"3"
1;8;0;"PER IN NATURA";"CARNES";"CARNE DO SOL";;10800;"CARNE DO SOL";;
1;8;1;"PER IN NATURA";"CARNES";"CARNE DO SOL";"CARNE DO SOL";10801;"CARNE DO SOL";;"3"
1;9;0;"PER IN NATURA";"CARNES";"CARNES EXOTICA";;10900;"CARNES EXOTICA";;
1;9;1;"PER IN NATURA";"CARNES";"CARNES EXOTICA";"CARNE EXOTICA";10901;"CARNES EXOTICA";;"3"
2;0;0;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";;;20000;;;
2;1;0;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";;20100;"PEIXARIA";;
2;1;1;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE INTEIRO CONGELADO";20101;"PEIXARIA";;"3"
2;1;2;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE INTEIRO RESFRIADO";20102;"PEIXARIA";;"3"
2;1;3;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE INTEIRO RESFRIADO";20103;"PEIXARIA";;"3"
2;1;4;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE POPULAR INTEIRO CONG";20104;"PEIXARIA";;"3"
2;1;5;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE POPULAR EVISCERADO/H";20105;"PEIXARIA";;"3"
2;1;6;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE POPULAR RESFRIADO";20106;"PEIXARIA";;"3"
2;1;7;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE POSTA CONGELADO";20107;"PEIXARIA";;"3"
2;1;8;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE EM POSTA RESFRIADO";20108;"PEIXARIA";;"3"
2;1;9;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"FILE DE PEIXE";20109;"PEIXARIA";;"3"
2;1;10;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"CABECA/RABO/OVA DE PEIXE";20110;"PEIXARIA";;"3"
2;1;11;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE CAIXA FECHADA";20111;"PEIXARIA";;"3"
2;2;0;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXE EMBALADO/INDUSTRIALIZADO";;20200;"PEIXE EMBALADO/INDUSTRIALIZADO";;
2;2;1;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXE EMBALADO/INDUSTRIALIZADO";"FILE DE PEIXE EMBALADO";20201;"PEIXE EMBALADO/INDUSTRIALIZADO";;"3"
2;2;2;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXE EMBALADO/INDUSTRIALIZADO";"PEIXE EMBALADO";20202;"PEIXE EMBALADO/INDUSTRIALIZADO";;"3"
2;3;0;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";;20300;"MARISCOS/MOLUSCOS E CRUSTACEOS";;
